"S",1005.00,1.80,5.20,"V","V",42.20,34.93,111.35,34.94,111.36,0.90
"S",427.00,1.80,5.20,"V","V",37.40,34.93,111.35,34.94,111.36,0.90
"S",425.80,1.80,5.20,"V","V",35.00,34.93,111.35,34.94,111.36,0.90
"S",1003.80,1.80,5.20,"V","V",49.70,34.93,111.35,34.94,111.36,0.90
"S",1005.00,1.80,5.20,"V","V",48.80,34.93,111.35,34.94,111.36,0.90
"S",427.00,1.80,5.20,"V","V",29.30,34.93,111.35,34.94,111.36,0.90
"S",425.80,1.80,5.20,"V","V",28.70,34.93,111.35,34.94,111.36,0.90
"S",1003.80,1.80,5.20,"V","V",42.90,34.93,111.35,34.94,111.36,0.90
"S",1005.00,1.80,5.20,"V","V",43.30,34.93,111.35,34.94,111.36,0.90
"S",427.00,1.80,5.20,"V","V",32.90,34.93,111.35,34.94,111.36,0.90
"S",425.80,1.80,5.20,"V","V",31.20,34.93,111.35,34.94,111.36,0.90
"S",1003.80,1.80,5.20,"V","V",42.60,34.93,111.35,34.94,111.36,0.90
"S",1005.00,1.80,5.20,"V","V",41.70,34.93,111.35,34.94,111.36,0.90
"S",427.00,5.20,5.20,"V","V",36.50,34.93,111.35,34.94,111.36,0.90
"S",425.80,5.20,5.20,"V","V",34.00,34.93,111.35,34.94,111.36,0.90
"S",1003.80,5.20,5.20,"V","V",40.20,34.93,111.35,34.94,111.36,0.90
"S",1005.00,5.20,5.20,"V","V",40.80,34.93,111.35,34.94,111.36,0.90
"S",427.00,5.20,5.20,"V","V",31.60,34.93,111.35,34.94,111.36,0.90
"S",425.80,5.20,5.20,"V","V",27.70,34.93,111.35,34.94,111.36,0.90
"S",1003.80,5.20,5.20,"V","V",43.20,34.93,111.35,34.94,111.36,0.90
"S",1005.00,5.20,5.20,"V","V",40.90,34.93,111.35,34.94,111.36,0.90
"S",427.00,9.40,5.20,"V","V",33.20,34.93,111.35,34.94,111.36,0.90
"S",425.80,9.40,5.20,"V","V",31.00,34.93,111.35,34.94,111.36,0.90
"S",1003.80,9.40,5.20,"V","V",37.70,34.93,111.35,34.94,111.36,0.90
"S",1005.00,9.40,5.20,"V","V",38.10,34.93,111.35,34.94,111.36,0.90
"S",427.00,9.40,5.20,"V","V",34.20,34.93,111.35,34.94,111.36,0.90
"S",425.80,9.40,5.20,"V","V",30.30,34.93,111.35,34.94,111.36,0.90
"S",1003.80,9.40,5.20,"V","V",40.10,34.93,111.35,34.94,111.36,0.90
"S",1005.00,9.40,5.20,"V","V",38.90,34.93,111.35,34.94,111.36,0.90
"S",427.00,9.40,5.20,"V","V",37.90,34.93,111.35,34.94,111.36,0.90
"S",425.80,9.40,5.20,"V","V",36.50,34.93,111.35,34.94,111.36,0.90
"S",1003.80,9.40,5.20,"V","V",39.00,34.93,111.35,34.94,111.36,0.90
"S",1005.00,9.40,5.20,"V","V",38.40,34.93,111.35,34.94,111.36,0.90
"S",427.00,9.40,5.20,"V","V",35.00,34.93,111.35,34.94,111.36,0.90
"S",425.80,9.40,5.20,"V","V",34.00,34.93,111.35,34.94,111.36,0.90
"S",1003.80,9.40,5.20,"V","V",38.50,34.93,111.35,34.94,111.36,0.90
"S",1005.00,9.40,5.20,"V","V",38.80,34.93,111.35,34.94,111.36,0.90
"S",427.00,13.40,5.20,"V","V",27.50,34.93,111.35,34.94,111.36,0.90
"S",425.80,13.40,5.20,"V","V",26.90,34.93,111.35,34.94,111.36,0.90
"S",1003.80,13.40,5.20,"V","V",34.20,34.93,111.35,34.94,111.36,0.90
"S",1005.00,13.40,5.20,"V","V",33.80,34.93,111.35,34.94,111.36,0.90
"S",427.00,13.40,5.20,"V","V",29.40,34.93,111.35,34.94,111.36,0.90
"S",425.80,13.40,5.20,"V","V",26.50,34.93,111.35,34.94,111.36,0.90
"S",1003.80,13.40,5.20,"V","V",33.90,34.93,111.35,34.94,111.36,0.90
"S",1005.00,13.40,5.20,"V","V",35.40,34.93,111.35,34.94,111.36,0.90
"S",427.00,17.70,5.20,"V","V",26.30,34.93,111.35,34.94,111.36,0.90
"S",425.80,17.70,5.20,"V","V",24.30,34.93,111.35,34.94,111.36,0.90
"S",1003.80,17.70,5.20,"V","V",31.80,34.93,111.35,34.94,111.36,0.90
"S",1005.00,17.70,5.20,"V","V",31.50,34.93,111.35,34.94,111.36,0.90
"S",427.00,17.70,5.20,"V","V",24.30,34.93,111.35,34.94,111.36,0.90
"S",425.80,17.70,5.20,"V","V",22.10,34.93,111.35,34.94,111.36,0.90
"S",1003.80,17.70,5.20,"V","V",29.80,34.93,111.35,34.94,111.36,0.90
"S",1005.00,17.70,5.20,"V","V",30.20,34.93,111.35,34.94,111.36,0.90
"S",427.00,21.90,5.20,"V","V",18.80,34.93,111.35,34.94,111.36,0.90
"S",425.80,21.90,5.20,"V","V",18.90,34.93,111.35,34.94,111.36,0.90
"S",1003.80,21.90,5.20,"V","V",24.00,34.93,111.35,34.94,111.36,0.90
"S",1005.00,21.90,5.20,"V","V",24.10,34.93,111.35,34.94,111.36,0.90
"S",427.00,21.90,5.20,"V","V",18.10,34.93,111.35,34.94,111.36,0.90
"S",425.80,21.90,5.20,"V","V",17.10,34.93,111.35,34.94,111.36,0.90
"S",1003.80,21.90,5.20,"V","V",24.50,34.93,111.35,34.94,111.36,0.90
"S",1005.00,21.90,5.20,"V","V",26.50,34.93,111.35,34.94,111.36,0.90
"S",427.00,21.90,5.20,"V","V",20.60,34.93,111.35,34.94,111.36,0.90
"S",425.80,21.90,5.20,"V","V",20.20,34.93,111.35,34.94,111.36,0.90
"S",1003.80,21.90,5.20,"V","V",25.00,34.93,111.35,34.94,111.36,0.90
"S",1005.00,21.90,5.20,"V","V",24.70,34.93,111.35,34.94,111.36,0.90
"S",427.00,21.90,5.20,"V","V",23.70,34.93,111.35,34.94,111.36,0.90
"S",425.80,21.90,5.20,"V","V",20.80,34.93,111.35,34.94,111.36,0.90
"S",1003.80,21.90,5.20,"V","V",24.60,34.93,111.35,34.94,111.36,0.90
"S",1005.00,21.90,5.20,"V","V",25.00,34.93,111.35,34.94,111.36,0.90
"S",427.00,26.20,5.20,"V","V",16.60,34.93,111.35,34.94,111.36,0.90
"S",425.80,26.20,5.20,"V","V",16.40,34.93,111.35,34.94,111.36,0.90
"S",1003.80,26.20,5.20,"V","V",19.50,34.93,111.35,34.94,111.36,0.90
"S",1005.00,26.20,5.20,"V","V",19.90,34.93,111.35,34.94,111.36,0.90
"S",427.00,26.20,5.20,"V","V",16.40,34.93,111.35,34.94,111.36,0.90
"S",425.80,26.20,5.20,"V","V",15.30,34.93,111.35,34.94,111.36,0.90
"S",1003.80,26.20,5.20,"V","V",16.70,34.93,111.35,34.94,111.36,0.90
"S",1005.00,26.20,5.20,"V","V",17.00,34.93,111.35,34.94,111.36,0.90
"S",427.00,30.20,5.20,"V","V",14.40,34.93,111.35,34.94,111.36,0.90
"S",425.80,30.20,5.20,"V","V",14.30,34.93,111.35,34.94,111.36,0.90
"S",1003.80,30.20,5.20,"V","V",13.00,34.93,111.35,34.94,111.36,0.90
"S",1005.00,30.20,5.20,"V","V",13.10,34.93,111.35,34.94,111.36,0.90
"S",427.00,30.20,5.20,"V","V",13.40,34.93,111.35,34.94,111.36,0.90
"S",425.80,30.20,5.20,"V","V",13.60,34.93,111.35,34.94,111.36,0.90
"S",1003.80,30.20,5.20,"V","V",12.40,34.93,111.35,34.94,111.36,0.90
"S",1005.00,30.20,5.20,"V","V",12.20,34.93,111.35,34.94,111.36,0.90
"S",427.00,30.20,5.20,"V","V",16.10,34.93,111.35,34.94,111.36,0.90
"S",425.80,30.20,5.20,"V","V",15.80,34.93,111.35,34.94,111.36,0.90
"S",1003.80,30.20,5.20,"V","V",13.40,34.93,111.35,34.94,111.36,0.90
"S",1005.00,30.20,5.20,"V","V",13.30,34.93,111.35,34.94,111.36,0.90
"S",427.00,30.20,5.20,"V","V",17.30,34.93,111.35,34.94,111.36,0.90
"S",425.80,30.20,5.20,"V","V",15.90,34.93,111.35,34.94,111.36,0.90
"S",1003.80,30.20,5.20,"V","V",12.60,34.93,111.35,34.94,111.36,0.90
"S",1005.00,30.20,5.20,"V","V",12.50,34.93,111.35,34.94,111.36,0.90
